Person_ID,Name,Age,Gender,Marital_Status,Num_of_Children,Family_Support_Score,Living_With_Family,Education_Level,Job_Role,Experience_Years,Monthly_Salary,Monthly_Expenses,Savings_Per_Month,Has_Loans,Monthly_EMI,UPI_Transactions_Per_Month,UPI_Total_Amount_Per_Month,UPI_Received_Amount_Per_Month,UPI_Transfer_Purpose_Major,Financial_Stress_Score,Job_Satisfaction_Score,Work_Life_Balance_Score,Physical_Health_Score,Mental_Health_Score,Sleep_Hours_Per_Day,Exercise_Per_Week,Stress_Level,Friends_Support_Score,Social_Activity_Frequency,Is_Happy,Happiness_Score
12332,Person_31,61,Female,Divorced,1,5,Yes,Master,Artist,20,65651,88725,14574,No,4477,27,74534,27313,Bills,2,1,8,5,1,8,2,3,2,High,Yes,7
12333,Person_32,47,Female,Single,4,1,Yes,High School,Artist,1,44257,33370,37,Yes,29975,124,79233,42103,Travel,10,9,9,8,6,10,1,9,7,Medium,Yes,1
12334,Person_33,35,Female,Widowed,3,10,Yes,PhD,Engineer,17,86683,58881,10264,No,16455,156,51818,48408,Rent,1,10,8,2,10,9,6,2,10,High,No,2
12335,Person_34,34,Other,Married,3,7,Yes,PhD,Artist,32,5554,23709,12697,Yes,27144,86,111910,83251,Food,6,4,6,7,1,4,6,3,1,Medium,Yes,4
12336,Person_35,66,Other,Married,2,10,No,Master,Sales,36,13285,57862,8652,Yes,28013,145,13429,88771,Shopping,7,3,5,9,5,9,1,7,2,Low,No,9
12337,Person_36,70,Male,Divorced,1,1,Yes,PhD,Engineer,33,63258,5627,15930,No,19364,162,57748,91665,Food,5,6,3,7,9,7,0,4,5,High,Yes,5
12338,Person_37,63,Other,Married,4,9,No,High School,Teacher,19,34560,83802,26016,No,25693,76,48807,10534,Bills,8,1,3,3,9,9,5,6,2,Low,No,5
12339,Person_38,22,Other,Married,4,8,Yes,High School,Manager,34,53703,87705,29054,Yes,21876,75,7140,43060,Food,9,5,7,7,4,5,2,3,9,Medium,No,9
12340,Person_39,56,Other,Widowed,3,7,No,Master,Teacher,17,19651,79337,1832,Yes,26962,174,63226,17189,Food,2,7,5,8,7,7,4,1,4,Low,Yes,8
12341,Person_40,70,Other,Divorced,1,10,No,High School,Sales,23,71759,66206,15517,No,28084,113,145973,86067,Rent,4,2,6,1,7,6,1,6,9,Medium,Yes,2
12342,Person_41,26,Male,Widowed,2,7,Yes,PhD,Sales,7,80031,32699,29240,No,9551,132,88815,10967,Bills,9,10,6,3,4,4,0,4,1,Low,No,7
12343,Person_42,40,Other,Single,1,5,Yes,Bachelor,Doctor,29,15615,89771,23984,Yes,21143,74,28525,81991,Food,5,9,9,5,5,10,4,2,1,Low,Yes,1
12344,Person_43,28,Female,Single,0,5,No,PhD,Doctor,9,50723,23000,5167,Yes,26091,58,20491,65563,Shopping,3,6,1,6,9,6,2,7,1,High,No,10
12345,Person_44,58,Female,Single,1,5,No,Bachelor,Doctor,22,20400,80146,27975,Yes,24468,58,199888,8660,Bills,6,2,8,3,7,9,1,10,4,Medium,Yes,9
12346,Person_45,37,Other,Divorced,0,1,Yes,Master,Engineer,10,75413,83004,432,No,14179,46,166052,90875,Shopping,3,8,10,4,7,8,6,5,9,Low,Yes,3
12347,Person_46,23,Other,Married,0,8,No,Bachelor,Artist,1,58476,8424,4151,Yes,39,94,8078,39823,Travel,5,8,5,5,10,9,5,6,8,Medium,Yes,2
12348,Person_47,44,Female,Divorced,2,1,No,High School,Sales,25,3991,47957,14912,No,25958,140,91654,55842,Food,3,1,6,3,7,10,1,6,7,High,Yes,4
12349,Person_48,33,Female,Divorced,3,4,No,PhD,Teacher,35,9503,33842,6411,Yes,10222,77,129101,9616,Bills,6,1,6,4,9,10,5,9,1,Low,Yes,4
12350,Person_49,69,Male,Married,1,9,Yes,Bachelor,Teacher,32,71228,70804,18135,No,27197,112,179776,75976,Shopping,10,1,1,5,5,8,0,2,3,Medium,No,3
12351,Person_50,28,Female,Widowed,0,9,No,PhD,Teacher,12,71328,48882,26623,No,21757,108,16997,48738,Food,5,4,3,2,6,6,0,6,9,Low,Yes,2
12352,Person_51,45,Female,Single,1,5,No,Master,Teacher,39,95345,45692,21381,No,29637,105,131940,13107,Rent,9,4,6,10,3,6,2,9,9,Low,No,5
12353,Person_52,21,Other,Widowed,3,4,No,Master,Doctor,24,16994,37281,22104,No,23949,88,157470,61404,Shopping,3,8,9,9,1,8,5,4,5,Low,No,4
12354,Person_53,39,Female,Single,3,3,Yes,High School,Teacher,3,22770,34528,24000,Yes,16116,32,97356,94182,Shopping,6,1,6,10,2,5,1,6,6,Low,No,5
12355,Person_54,47,Male,Divorced,4,3,Yes,Master,Artist,18,91539,66060,27416,No,18284,96,113711,91787,Travel,8,10,6,8,8,4,0,7,6,High,Yes,8
12356,Person_55,66,Female,Single,3,5,No,Bachelor,Doctor,17,1534,54620,256,No,18601,189,21246,15954,Rent,7,3,1,6,1,7,1,1,10,High,No,2
12357,Person_56,26,Other,Divorced,2,10,Yes,Master,Teacher,36,49412,10519,671,No,16049,78,151633,16943,Travel,6,1,9,10,10,6,2,5,4,Medium,No,9
12358,Person_57,63,Other,Widowed,0,1,No,High School,Engineer,29,91666,47461,489,Yes,4796,15,147326,40725,Rent,2,9,4,3,7,4,5,4,1,Medium,No,10
12359,Person_58,27,Female,Divorced,4,5,Yes,PhD,Manager,18,65624,7238,6889,Yes,4606,43,34512,45434,Shopping,7,10,2,2,5,7,1,10,5,Low,No,1
12360,Person_59,66,Other,Widowed,2,6,Yes,PhD,Manager,22,35901,1107,11906,Yes,17667,185,57865,85751,Travel,8,9,1,7,6,9,4,2,1,Low,No,8
12361,Person_60,54,Male,Married,1,7,No,Master,Manager,15,91019,66138,18480,Yes,8775,119,154652,10110,Food,1,7,3,8,8,7,1,2,1,Low,No,5
12362,Person_61,33,Male,Married,0,9,Yes,Bachelor,Doctor,0,39842,46720,18066,Yes,29655,133,103393,87091,Rent,9,8,3,10,4,6,3,2,5,High,Yes,2
12363,Person_62,36,Female,Married,3,3,Yes,High School,Teacher,11,45846,85198,12603,Yes,25034,107,72144,16462,Shopping,4,1,5,1,6,5,3,7,5,Low,No,8
12364,Person_63,55,Female,Divorced,0,2,Yes,Bachelor,Sales,23,73963,6261,2460,No,14864,142,173557,79232,Bills,8,5,1,6,3,5,6,4,7,Medium,No,5
12365,Person_64,69,Female,Married,1,3,No,High School,Sales,33,13372,64805,4529,No,14193,3,181693,54081,Rent,10,2,7,7,7,4,2,6,2,Low,Yes,10
12366,Person_65,59,Other,Single,4,9,Yes,Master,Sales,7,66755,41553,21505,No,14676,55,117363,52799,Rent,7,1,1,9,2,9,2,7,6,High,No,10
12367,Person_66,23,Male,Widowed,4,7,Yes,High School,Doctor,17,37931,72095,28488,Yes,10457,63,50665,66567,Food,10,3,4,3,8,4,2,9,2,Low,Yes,3
12368,Person_67,21,Male,Widowed,4,9,No,High School,Artist,4,70444,78205,1975,No,27242,195,181675,89301,Rent,7,7,6,2,7,8,4,2,10,High,Yes,7
12369,Person_68,25,Other,Single,3,2,Yes,Master,Engineer,25,18572,42372,3216,No,17199,161,152110,51224,Rent,2,1,1,5,8,5,5,10,5,High,No,4
12370,Person_69,61,Male,Divorced,2,5,Yes,Bachelor,Engineer,29,64520,89927,14267,Yes,16044,94,93542,56063,Food,1,2,7,10,2,4,4,9,4,High,No,10
12371,Person_70,23,Female,Divorced,2,4,Yes,Master,Manager,12,76417,70387,9581,No,15066,55,101311,55240,Food,4,2,10,1,3,8,6,5,10,High,Yes,6
12372,Person_71,48,Female,Widowed,0,2,Yes,High School,Manager,18,7620,26210,4515,Yes,18895,31,14325,81352,Travel,2,4,7,6,4,9,1,6,5,Medium,Yes,10
12373,Person_72,37,Female,Married,3,9,Yes,Master,Sales,28,92928,25575,22076,No,246,115,166964,17868,Shopping,8,3,3,9,9,10,0,6,2,High,Yes,8
12374,Person_73,45,Male,Divorced,4,9,No,High School,Sales,2,15801,30260,12048,Yes,21209,8,132825,75973,Shopping,10,3,4,10,5,7,5,3,8,Medium,Yes,1
12375,Person_74,63,Female,Divorced,4,6,No,Master,Manager,25,58057,21187,9776,Yes,6516,190,149068,80989,Travel,7,10,6,9,6,4,3,10,8,Medium,No,2
12376,Person_75,53,Other,Single,1,6,Yes,PhD,Teacher,39,67916,39378,21323,Yes,16800,104,68811,22222,Shopping,8,5,7,7,1,8,3,7,6,Low,Yes,8
12377,Person_76,29,Other,Single,1,8,Yes,PhD,Artist,11,19675,43024,21947,No,13342,199,176283,79794,Rent,6,3,4,7,4,5,6,7,3,Low,Yes,7
12378,Person_77,55,Male,Married,4,6,Yes,Master,Artist,1,70256,62624,2963,No,29039,77,116737,63924,Travel,1,7,10,8,4,7,3,8,4,High,Yes,10
12379,Person_78,33,Other,Divorced,4,1,No,Bachelor,Artist,10,65874,16048,20913,Yes,23086,160,193892,99854,Travel,9,5,9,10,10,4,6,5,1,Low,No,9
12380,Person_79,50,Other,Divorced,3,4,No,High School,Artist,27,46461,45537,6786,Yes,20101,86,824,78513,Shopping,6,4,9,2,8,5,1,2,9,High,Yes,2
12381,Person_80,67,Male,Single,2,7,Yes,PhD,Manager,17,86158,65941,13866,No,16491,20,144952,54649,Bills,10,3,9,6,8,10,1,3,10,Low,Yes,8
12382,Person_81,34,Female,Divorced,1,2,Yes,Bachelor,Engineer,12,45900,19244,6200,No,27207,54,117718,83749,Shopping,1,4,10,5,10,7,2,9,5,High,No,6
12383,Person_82,27,Female,Widowed,2,9,No,High School,Manager,36,6804,10421,29635,Yes,9030,75,66617,10223,Bills,1,2,6,5,6,6,0,6,8,Low,No,1
12384,Person_83,33,Female,Single,3,8,Yes,PhD,Artist,21,32898,3417,17360,No,20897,184,11517,48166,Travel,8,1,2,3,8,5,2,8,3,Low,Yes,4
12385,Person_84,42,Male,Married,4,8,No,PhD,Manager,11,6759,81981,7345,No,29492,129,152755,39369,Bills,6,3,2,3,9,6,1,8,4,Medium,Yes,2
12386,Person_85,59,Other,Single,2,7,No,Master,Artist,1,46541,24411,27940,No,1421,140,147948,86379,Rent,8,2,4,6,5,9,4,5,4,Low,Yes,7
12387,Person_86,40,Female,Divorced,4,4,Yes,High School,Doctor,36,20618,1880,45,Yes,12970,125,103068,69392,Food,8,1,9,10,1,4,2,1,8,Low,No,9
12388,Person_87,35,Female,Married,4,2,No,Bachelor,Sales,6,80996,37071,1193,Yes,7283,131,187426,59526,Bills,8,1,3,10,1,10,5,6,9,High,No,6
12389,Person_88,64,Male,Single,0,3,Yes,Bachelor,Engineer,25,69221,5757,27918,No,28488,83,115016,12661,Food,10,2,6,7,2,8,1,7,3,Medium,Yes,4
12390,Person_89,37,Female,Widowed,2,6,Yes,Bachelor,Doctor,25,84006,86758,4512,Yes,15945,177,9982,15591,Rent,7,9,2,1,2,4,1,9,7,High,Yes,5
12391,Person_90,66,Male,Widowed,2,5,Yes,High School,Teacher,23,56027,78030,21327,No,255,114,157670,71718,Food,7,5,1,3,5,5,4,2,9,Low,Yes,1
12392,Person_91,43,Other,Single,4,8,Yes,Bachelor,Manager,11,57686,1358,22666,No,23632,47,145711,55235,Rent,10,9,5,1,7,6,4,2,2,High,No,4
12393,Person_92,45,Male,Widowed,3,6,Yes,Bachelor,Teacher,15,11570,26991,16630,Yes,11019,122,70210,7970,Food,4,8,8,10,7,6,4,10,4,Medium,Yes,10
12394,Person_93,44,Male,Widowed,0,6,Yes,Bachelor,Manager,22,54411,86912,19603,Yes,15487,77,69852,47922,Food,9,6,10,3,4,7,0,1,3,High,Yes,3
12395,Person_94,64,Male,Widowed,4,1,No,Master,Sales,39,50478,14696,28901,Yes,9029,29,113618,30755,Shopping,2,1,10,5,4,4,5,5,8,Low,No,9
12396,Person_95,60,Male,Married,1,4,No,Master,Doctor,8,32473,69852,8983,No,19346,28,9695,19416,Bills,9,10,2,9,10,4,1,2,4,High,Yes,6
12397,Person_96,48,Other,Widowed,1,5,No,High School,Sales,31,31673,48080,636,No,2282,135,48582,13672,Food,10,5,10,3,3,5,4,3,9,Low,No,4
12398,Person_97,34,Other,Widowed,0,3,No,High School,Artist,14,68716,10799,3775,Yes,8744,139,31094,83468,Travel,3,1,9,10,2,6,0,2,1,Medium,No,3
12399,Person_98,64,Female,Widowed,3,9,Yes,Bachelor,Sales,36,58783,68475,2421,Yes,24756,40,191707,46996,Shopping,2,7,8,10,3,5,3,4,1,Medium,Yes,4
12400,Person_99,20,Other,Married,4,1,No,Master,Sales,12,33133,16411,13025,Yes,28828,25,22187,74095,Bills,4,10,3,9,8,5,5,3,4,High,No,8
12401,Person_100,44,Other,Single,2,6,No,PhD,Artist,4,94356,75935,9280,No,17861,49,118013,64,Shopping,5,8,1,1,1,9,6,9,3,Medium,No,5
12402,Person_101,26,Female,Divorced,0,6,No,PhD,Manager,10,9728,26877,4183,No,25146,1,128721,68835,Bills,2,8,4,6,4,6,6,10,3,High,Yes,1
12403,Person_102,28,Other,Widowed,3,10,Yes,Bachelor,Artist,9,62647,41713,11351,No,21336,54,106683,70385,Rent,1,7,8,9,7,5,3,2,10,Low,No,5
12404,Person_103,43,Male,Single,2,5,No,Bachelor,Doctor,12,38,20805,17096,Yes,22264,103,1214,5639,Food,10,2,3,5,5,6,3,7,2,High,No,8
12405,Person_104,20,Male,Widowed,1,5,Yes,Master,Sales,14,62380,43402,22229,Yes,9919,183,23940,11055,Travel,5,5,10,10,2,5,1,3,10,Low,Yes,4
12406,Person_105,63,Female,Married,1,10,No,Master,Artist,6,47609,37914,5323,No,13335,13,44406,59220,Shopping,9,4,2,2,1,8,0,10,10,Medium,Yes,2
12407,Person_106,27,Female,Single,2,5,Yes,Master,Sales,39,17407,21357,22416,Yes,21976,133,174553,87594,Shopping,5,5,7,5,6,5,0,8,2,Low,Yes,3
12408,Person_107,43,Female,Married,0,6,Yes,High School,Doctor,27,45416,15443,12888,Yes,23475,127,147049,29427,Shopping,10,10,4,1,5,5,3,4,8,Low,Yes,9
12409,Person_108,30,Male,Widowed,1,8,No,High School,Teacher,31,47667,88926,3644,Yes,591,103,175911,82516,Shopping,9,9,6,9,3,10,5,4,1,Low,Yes,7
12410,Person_109,70,Other,Widowed,4,2,Yes,Bachelor,Doctor,34,67570,45004,16142,Yes,6277,94,188946,64666,Food,10,4,5,10,9,8,2,9,8,Low,No,3
12411,Person_110,36,Male,Married,2,6,Yes,High School,Engineer,14,13513,18487,7773,No,29092,80,58414,64274,Bills,6,8,2,10,3,4,3,3,10,Low,No,5
12412,Person_111,27,Female,Divorced,2,1,No,Master,Engineer,35,54953,32476,28466,Yes,2260,60,101440,10866,Food,3,8,10,9,2,6,1,7,3,High,No,3
12413,Person_112,54,Other,Married,1,4,No,Master,Engineer,20,75849,47284,10778,No,11139,11,156610,3889,Rent,4,2,2,6,5,10,3,1,2,Low,No,10
12414,Person_113,54,Other,Widowed,0,10,No,High School,Sales,5,82684,54218,12501,No,347,12,103569,48226,Food,4,6,9,9,9,7,5,7,9,Low,No,4
12415,Person_114,52,Male,Married,4,3,Yes,PhD,Manager,0,25355,13031,14409,Yes,24741,146,187313,31335,Food,1,5,10,3,8,8,5,10,5,Low,Yes,8
12416,Person_115,24,Female,Divorced,0,9,Yes,Bachelor,Manager,3,50400,85189,2108,No,21416,171,60481,50547,Rent,3,2,2,4,6,10,3,2,5,Low,Yes,3
12417,Person_116,61,Male,Married,3,3,Yes,PhD,Manager,10,95051,5440,29369,No,4443,88,27740,26162,Food,3,10,8,6,3,4,0,6,6,Low,Yes,3
12418,Person_117,58,Other,Divorced,3,6,No,Bachelor,Sales,25,59567,8498,3614,Yes,11088,94,63328,89449,Bills,1,4,8,4,6,5,3,9,4,Low,Yes,8
12419,Person_118,60,Male,Divorced,1,1,Yes,PhD,Doctor,36,65064,72232,25818,No,29069,58,181715,24687,Travel,9,7,1,1,5,9,4,6,7,Medium,No,10
12420,Person_119,47,Male,Married,1,6,Yes,High School,Manager,22,1916,59326,10251,No,8774,36,11881,98756,Rent,1,1,1,7,1,4,4,3,7,High,Yes,10
12421,Person_120,26,Female,Married,1,4,Yes,Bachelor,Teacher,28,40177,2768,23341,No,6869,24,36996,10995,Shopping,9,9,4,5,5,8,2,1,9,Low,Yes,7
12422,Person_121,28,Female,Single,3,8,Yes,Bachelor,Engineer,20,7971,20394,11678,No,28082,15,163249,56488,Bills,1,10,2,8,7,9,1,4,6,High,No,7
12423,Person_122,27,Other,Widowed,0,9,Yes,Bachelor,Doctor,26,26150,31503,14367,No,22080,165,122196,2631,Travel,2,1,1,9,9,5,1,4,1,Medium,No,10
12424,Person_123,31,Male,Divorced,0,4,Yes,Master,Engineer,38,58711,63760,21663,No,28979,170,37177,34954,Bills,2,5,9,5,1,4,6,8,9,Medium,Yes,2
12425,Person_124,53,Male,Single,1,10,Yes,Master,Manager,39,77577,35830,29672,No,19422,86,66126,5967,Bills,6,7,3,8,3,7,0,10,10,Low,No,7
12426,Person_125,52,Male,Married,4,10,No,PhD,Doctor,12,80674,16939,4332,No,2845,141,56531,88294,Shopping,7,8,1,1,8,6,1,10,9,High,No,10
12427,Person_126,67,Other,Widowed,0,6,No,High School,Artist,22,81209,5579,12002,Yes,24248,133,26119,87278,Travel,1,2,2,1,6,6,2,7,5,Low,Yes,10
12428,Person_127,42,Other,Single,3,1,No,Master,Teacher,15,99774,38184,29876,Yes,27342,22,117744,64471,Bills,3,4,8,7,5,8,4,10,7,Medium,No,3
12429,Person_128,43,Female,Divorced,2,4,Yes,Bachelor,Manager,29,81228,1592,20284,Yes,22993,125,116894,37116,Shopping,2,2,5,6,10,10,0,7,1,Medium,Yes,7
12430,Person_129,56,Female,Single,2,7,Yes,Master,Manager,3,80739,42787,27181,No,12386,59,158987,92116,Rent,8,4,7,5,2,5,5,7,4,High,No,4
12431,Person_130,54,Female,Divorced,2,1,No,High School,Teacher,39,28571,54417,15700,No,1265,139,133780,34227,Shopping,9,6,6,5,3,5,4,2,10,Low,No,8
12432,Person_131,63,Male,Married,4,8,Yes,Master,Teacher,15,50578,60566,13769,No,12445,140,169821,1942,Food,2,6,1,9,2,6,2,9,4,High,No,8
12433,Person_132,59,Male,Widowed,1,10,No,Bachelor,Artist,30,73312,77229,29775,Yes,29225,99,44989,47664,Shopping,2,2,6,1,1,4,0,6,5,High,No,6
12434,Person_133,41,Female,Widowed,3,6,Yes,PhD,Manager,24,95390,4414,29318,Yes,12938,102,22106,28069,Shopping,10,4,7,8,7,5,3,2,6,Medium,Yes,3
12435,Person_134,46,Male,Widowed,4,5,Yes,Bachelor,Sales,11,94978,71324,24323,Yes,11159,133,17131,87342,Shopping,9,4,4,2,3,7,1,1,4,High,No,6
12436,Person_135,54,Female,Married,3,10,No,High School,Manager,25,29514,26756,27610,No,2274,62,46553,14407,Bills,4,1,8,7,7,7,2,1,6,Medium,Yes,6
12437,Person_136,20,Other,Divorced,3,9,No,PhD,Engineer,36,37156,38179,6963,Yes,18854,37,189216,59201,Travel,5,2,8,6,7,5,0,1,10,Low,Yes,3
12438,Person_137,54,Female,Married,1,2,No,Master,Doctor,32,40307,56577,20952,Yes,10482,127,6553,80093,Shopping,9,3,7,10,8,5,4,4,7,High,No,4
12439,Person_138,56,Other,Widowed,2,5,No,Master,Doctor,27,86404,61421,7838,No,18961,49,17881,54348,Shopping,6,5,2,2,1,6,0,4,3,High,No,2
12440,Person_139,66,Male,Married,1,6,No,Master,Engineer,8,68617,12046,12399,Yes,20044,179,1379,81981,Food,10,8,6,3,5,8,3,9,9,Low,Yes,1
12441,Person_140,33,Female,Married,4,7,Yes,PhD,Doctor,11,16949,23232,12243,No,1068,39,90791,17878,Food,9,6,6,4,10,6,2,1,8,High,No,2
12442,Person_141,22,Male,Married,4,5,Yes,Bachelor,Teacher,4,90477,35206,27939,Yes,21975,7,105664,83100,Rent,9,3,7,7,9,8,0,3,1,Low,No,7
12443,Person_142,20,Other,Divorced,4,9,Yes,PhD,Doctor,27,50725,36074,28597,No,14706,188,69306,78629,Rent,7,6,6,8,7,7,5,3,2,Medium,Yes,10
12444,Person_143,24,Other,Single,1,1,No,PhD,Doctor,34,44470,82195,1845,No,5974,7,150798,55420,Food,10,7,2,2,1,8,2,8,2,Medium,No,5
12445,Person_144,45,Other,Single,3,7,No,High School,Engineer,4,66586,26375,13942,No,10928,103,140160,91987,Travel,9,6,8,8,8,6,2,2,10,High,Yes,9
12446,Person_145,33,Male,Married,3,10,No,PhD,Artist,33,68232,11591,16766,No,21213,33,165386,43168,Rent,5,10,4,9,3,5,4,6,9,Medium,No,3
12447,Person_146,58,Male,Single,0,7,No,Master,Doctor,33,12676,50236,4112,No,1950,187,186113,54862,Travel,5,6,9,7,4,8,6,4,9,Medium,No,2
12448,Person_147,46,Male,Single,4,4,No,Bachelor,Sales,12,62129,5327,12780,Yes,24667,56,104512,89622,Food,8,1,8,1,4,6,1,10,9,Low,No,4
12449,Person_148,28,Male,Married,3,9,No,Bachelor,Doctor,38,35331,65299,15690,No,19477,173,16350,82025,Rent,10,3,3,6,10,7,6,6,1,Medium,No,2
12450,Person_149,34,Other,Married,0,5,Yes,Bachelor,Artist,13,1789,79473,23453,No,10411,21,99599,28004,Shopping,4,7,3,8,8,9,5,5,7,Medium,No,7
12451,Person_150,34,Other,Widowed,3,4,Yes,Master,Engineer,10,13196,29304,20194,No,21695,86,81397,20471,Food,9,4,8,5,1,8,3,9,3,Medium,No,10
12452,Person_151,45,Female,Single,4,7,Yes,Master,Artist,37,16469,70798,10088,No,13388,39,79509,91820,Rent,7,4,2,2,8,7,0,9,9,Low,Yes,6
12453,Person_152,61,Female,Divorced,2,4,Yes,Master,Engineer,3,86256,46506,1509,Yes,29976,172,17769,60167,Travel,7,7,9,5,9,7,6,1,8,High,Yes,8
